respuesta_id,sede,rol,puntaje_csat,comentario
SUR-00001,Cuenca,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00051,Guayaquil,Farmacia,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00052,Guayaquil,Paciente,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00053,Manta,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00054,Cuenca,Farmacia,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00055,Manta,Medico,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00056,Quito,Paciente,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00057,Guayaquil,Medico,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00058,Quito,Farmacia,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00059,Guayaquil,Admision,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00060,Guayaquil,Paciente,1,Respuesta sintetica reproducible; sin datos personales.
SUR-00061,Guayaquil,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00062,Ambato,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00063,Manta,Farmacia,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00064,Manta,Medico,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00065,Quito,Farmacia,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00066,Ambato,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00067,Manta,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00068,Quito,Medico,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00069,Quito,Medico,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00070,Ambato,Farmacia,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00071,Cuenca,Enfermeria,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00072,Quito,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00073,Ambato,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00074,Cuenca,Enfermeria,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00075,Cuenca,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00076,Quito,Paciente,1,Respuesta sintetica reproducible; sin datos personales.
SUR-00077,Guayaquil,Medico,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00078,Manta,Medico,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00079,Quito,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00080,Ambato,Medico,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00081,Guayaquil,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00082,Manta,Enfermeria,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00083,Manta,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00084,Ambato,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00085,Quito,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00086,Guayaquil,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00087,Guayaquil,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00088,Quito,Medico,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00089,Ambato,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00090,Cuenca,Paciente,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00091,Quito,Medico,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00092,Guayaquil,Farmacia,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00093,Guayaquil,Medico,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00094,Guayaquil,Farmacia,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00095,Cuenca,Medico,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00096,Cuenca,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00097,Ambato,Admision,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00098,Guayaquil,Enfermeria,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00099,Ambato,Paciente,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00100,Ambato,Paciente,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00101,Ambato,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00102,Cuenca,Medico,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00103,Ambato,Enfermeria,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00104,Manta,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00105,Quito,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00106,Cuenca,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00107,Manta,Farmacia,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00108,Quito,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00109,Ambato,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00110,Guayaquil,Enfermeria,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00111,Ambato,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00112,Cuenca,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00113,Ambato,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00114,Guayaquil,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00115,Quito,Paciente,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00116,Guayaquil,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00117,Guayaquil,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00118,Quito,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00119,Cuenca,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00120,Ambato,Enfermeria,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00121,Quito,Enfermeria,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00122,Guayaquil,Farmacia,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00123,Manta,Enfermeria,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00124,Quito,Medico,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00125,Quito,Admision,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00126,Cuenca,Medico,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00127,Guayaquil,Enfermeria,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00128,Cuenca,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00129,Guayaquil,Farmacia,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00130,Manta,Medico,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00131,Quito,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00132,Guayaquil,Farmacia,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00133,Cuenca,Admision,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00134,Manta,Medico,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00135,Ambato,Enfermeria,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00136,Quito,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00137,Guayaquil,Enfermeria,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00138,Quito,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00139,Ambato,Farmacia,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00140,Ambato,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00141,Quito,Medico,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00142,Ambato,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00143,Quito,Enfermeria,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00144,Ambato,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00145,Guayaquil,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00146,Guayaquil,Medico,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00147,Ambato,Admision,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00148,Guayaquil,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00149,Guayaquil,Enfermeria,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00150,Guayaquil,Enfermeria,1,Respuesta sintetica reproducible; sin datos personales.
SUR-00151,Cuenca,Paciente,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00152,Quito,Enfermeria,1,Respuesta sintetica reproducible; sin datos personales.
SUR-00153,Quito,Enfermeria,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00154,Quito,Medico,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00155,Guayaquil,Admision,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00156,Quito,Enfermeria,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00157,Guayaquil,Admision,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00158,Manta,Medico,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00159,Guayaquil,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00160,Cuenca,Admision,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00161,Guayaquil,Paciente,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00162,Cuenca,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00163,Cuenca,Paciente,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00164,Quito,Paciente,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00165,Cuenca,Enfermeria,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00166,Ambato,Medico,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00167,Quito,Farmacia,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00168,Cuenca,Paciente,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00169,Manta,Enfermeria,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00170,Manta,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00171,Manta,Paciente,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00172,Ambato,Enfermeria,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00173,Quito,Paciente,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00174,Ambato,Admision,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00175,Quito,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00176,Guayaquil,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00177,Manta,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00178,Ambato,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00179,Manta,Farmacia,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00180,Quito,Medico,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00181,Quito,Paciente,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00182,Guayaquil,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00183,Cuenca,Medico,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00184,Guayaquil,Medico,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00185,Quito,Medico,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00186,Guayaquil,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00187,Quito,Medico,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00188,Quito,Medico,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00189,Quito,Medico,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00190,Quito,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00191,Manta,Medico,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00192,Manta,Enfermeria,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00193,Quito,Medico,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00194,Quito,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00195,Guayaquil,Medico,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00196,Guayaquil,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00197,Ambato,Farmacia,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00198,Ambato,Enfermeria,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00199,Guayaquil,Farmacia,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00200,Ambato,Enfermeria,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00201,Quito,Enfermeria,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00202,Manta,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00203,Cuenca,Medico,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00204,Ambato,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00205,Cuenca,Admision,1,Respuesta sintetica reproducible; sin datos personales.
SUR-00206,Guayaquil,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00207,Guayaquil,Enfermeria,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00208,Guayaquil,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00209,Guayaquil,Enfermeria,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00210,Manta,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00211,Quito,Admision,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00212,Guayaquil,Farmacia,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00213,Ambato,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00214,Ambato,Enfermeria,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00215,Guayaquil,Farmacia,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00216,Guayaquil,Enfermeria,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00217,Cuenca,Medico,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00218,Guayaquil,Paciente,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00219,Quito,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00220,Quito,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00221,Guayaquil,Enfermeria,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00222,Ambato,Farmacia,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00223,Guayaquil,Medico,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00224,Quito,Medico,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00225,Quito,Medico,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00226,Guayaquil,Paciente,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00227,Quito,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00228,Cuenca,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00229,Manta,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00230,Quito,Farmacia,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00231,Guayaquil,Paciente,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00232,Cuenca,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00233,Manta,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00234,Quito,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00235,Guayaquil,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00236,Manta,Farmacia,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00237,Guayaquil,Medico,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00238,Manta,Enfermeria,1,Respuesta sintetica reproducible; sin datos personales.
SUR-00239,Quito,Paciente,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00240,Guayaquil,Farmacia,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00241,Quito,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00242,Guayaquil,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00243,Guayaquil,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00244,Guayaquil,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00245,Guayaquil,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00246,Guayaquil,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00247,Cuenca,Enfermeria,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00248,Quito,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00249,Guayaquil,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00250,Ambato,Enfermeria,1,Respuesta sintetica reproducible; sin datos personales.
SUR-00251,Guayaquil,Admision,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00252,Manta,Farmacia,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00253,Manta,Medico,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00254,Cuenca,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00255,Quito,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00256,Quito,Medico,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00257,Manta,Farmacia,1,Respuesta sintetica reproducible; sin datos personales.
SUR-00258,Guayaquil,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00259,Cuenca,Enfermeria,1,Respuesta sintetica reproducible; sin datos personales.
SUR-00260,Quito,Medico,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00261,Ambato,Medico,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00262,Manta,Paciente,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00263,Quito,Medico,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00264,Guayaquil,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00265,Quito,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00266,Cuenca,Admision,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00267,Cuenca,Medico,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00268,Quito,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00269,Ambato,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00270,Cuenca,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00271,Cuenca,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00272,Manta,Paciente,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00273,Cuenca,Paciente,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00274,Guayaquil,Farmacia,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00275,Quito,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00276,Guayaquil,Medico,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00277,Guayaquil,Enfermeria,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00278,Cuenca,Medico,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00279,Quito,Paciente,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00280,Cuenca,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00281,Quito,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00282,Cuenca,Enfermeria,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00283,Cuenca,Farmacia,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00284,Ambato,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00285,Cuenca,Enfermeria,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00286,Cuenca,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00287,Quito,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00288,Guayaquil,Medico,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00289,Manta,Medico,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00290,Ambato,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00291,Manta,Enfermeria,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00292,Quito,Farmacia,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00293,Ambato,Farmacia,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00294,Ambato,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00295,Cuenca,Medico,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00296,Quito,Medico,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00297,Guayaquil,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00298,Quito,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00299,Cuenca,Admision,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00300,Manta,Medico,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00301,Guayaquil,Enfermeria,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00302,Cuenca,Admision,1,Respuesta sintetica reproducible; sin datos personales.
SUR-00303,Quito,Farmacia,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00304,Guayaquil,Paciente,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00305,Ambato,Enfermeria,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00306,Guayaquil,Medico,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00307,Cuenca,Enfermeria,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00308,Ambato,Medico,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00309,Manta,Medico,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00310,Ambato,Medico,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00311,Manta,Medico,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00312,Guayaquil,Admision,1,Respuesta sintetica reproducible; sin datos personales.
SUR-00313,Ambato,Medico,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00314,Cuenca,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00315,Guayaquil,Paciente,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00316,Manta,Paciente,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00317,Quito,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00318,Cuenca,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00319,Cuenca,Paciente,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00320,Guayaquil,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00321,Manta,Farmacia,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00322,Quito,Farmacia,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00323,Quito,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00324,Guayaquil,Medico,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00325,Guayaquil,Farmacia,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00326,Guayaquil,Enfermeria,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00327,Quito,Farmacia,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00328,Ambato,Paciente,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00329,Quito,Paciente,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00330,Guayaquil,Enfermeria,1,Respuesta sintetica reproducible; sin datos personales.
SUR-00331,Quito,Paciente,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00332,Guayaquil,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00333,Manta,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00334,Guayaquil,Medico,4,Respuesta sintetica reproducible; sin datos personales.
