evento_id,timestamp,sede,medico_id,tiempo_segundos,completada
EVT-000099,2025-09-11T16:34:00,Cuenca,MED-CUE-11,5.3,1
EVT-000101,2025-01-05T09:19:00,Cuenca,MED-CUE-12,5.58,1
EVT-000104,2025-11-03T15:16:00,Manta,MED-MAN-01,7.99,1
EVT-000108,2025-08-12T16:56:00,Quito,MED-QUI-02,6.36,1
EVT-000113,2025-01-25T13:43:00,Quito,MED-QUI-03,5.25,1
EVT-000119,2025-03-04T18:01:00,Quito,MED-QUI-04,5.85,1
EVT-000121,2025-07-13T11:10:00,Quito,MED-QUI-05,13.46,1
EVT-000123,2025-09-21T10:05:00,Ambato,MED-AMB-06,10.74,1
EVT-000126,2025-07-11T08:06:00,Cuenca,MED-CUE-07,4.94,1
EVT-000127,2025-12-19T15:44:00,Quito,MED-QUI-08,5.48,1
EVT-000129,2025-07-01T09:51:00,Quito,MED-QUI-09,6.99,1
EVT-000130,2025-07-31T16:09:00,Cuenca,MED-CUE-10,8.09,1
EVT-000132,2025-09-12T10:05:00,Ambato,MED-AMB-11,8.75,1
EVT-000138,2025-11-28T14:18:00,Manta,MED-MAN-12,8.87,1
EVT-000139,2025-11-20T10:31:00,Ambato,MED-AMB-01,11.98,1
EVT-000140,2025-12-15T08:45:00,Guayaquil,MED-GUA-02,8.04,1
EVT-000141,2025-06-21T11:03:00,Cuenca,MED-CUE-03,10.49,1
EVT-000144,2025-09-04T12:29:00,Guayaquil,MED-GUA-04,9.81,1
EVT-000146,2025-04-24T15:49:00,Ambato,MED-AMB-05,4.29,1
EVT-000149,2025-11-23T11:50:00,Quito,MED-QUI-06,9.33,1
EVT-000160,2025-05-09T18:03:00,Manta,MED-MAN-07,7.12,1
EVT-000167,2025-11-07T08:12:00,Guayaquil,MED-GUA-08,6.24,1
EVT-000170,2025-05-21T09:01:00,Quito,MED-QUI-09,5.82,1
EVT-000172,2025-06-28T17:18:00,Quito,MED-QUI-10,4.68,1
EVT-000175,2025-08-31T08:15:00,Ambato,MED-AMB-11,6.79,1
EVT-000177,2025-01-10T13:48:00,Guayaquil,MED-GUA-12,5.95,1
EVT-000178,2025-07-09T12:20:00,Quito,MED-QUI-01,11.33,1
EVT-000180,2025-04-08T17:49:00,Ambato,MED-AMB-02,5.52,1
EVT-000182,2025-07-03T14:34:00,Manta,MED-MAN-03,9.02,1
EVT-000186,2025-05-03T12:20:00,Manta,MED-MAN-04,11.39,1
EVT-000187,2025-02-25T10:32:00,Cuenca,MED-CUE-05,11.74,1
EVT-000188,2025-07-21T15:21:00,Manta,MED-MAN-06,6.21,0
EVT-000190,2025-12-04T17:19:00,Guayaquil,MED-GUA-07,5.5,1
EVT-000196,2025-03-24T10:28:00,Quito,MED-QUI-08,12.54,1
EVT-000205,2025-05-13T07:17:00,Cuenca,MED-CUE-09,5.63,1
EVT-000206,2025-06-11T09:17:00,Guayaquil,MED-GUA-10,4.24,1
EVT-000207,2025-10-03T10:23:00,Guayaquil,MED-GUA-11,10.64,1
EVT-000217,2025-08-07T07:50:00,Guayaquil,MED-GUA-12,5.95,1
EVT-000218,2025-05-14T11:40:00,Quito,MED-QUI-01,10.96,1
EVT-000228,2025-10-21T07:58:00,Ambato,MED-AMB-02,5.86,1
EVT-000229,2025-10-26T14:59:00,Guayaquil,MED-GUA-03,8.03,1
EVT-000237,2025-01-09T17:37:00,Ambato,MED-AMB-04,5.46,1
EVT-000238,2025-03-19T08:44:00,Quito,MED-QUI-05,3.53,1
EVT-000241,2025-02-23T16:52:00,Quito,MED-QUI-06,7.1,1
EVT-000257,2025-06-02T08:14:00,Guayaquil,MED-GUA-07,7.75,0
EVT-000258,2025-02-15T18:31:00,Guayaquil,MED-GUA-08,5.03,1
EVT-000261,2025-07-24T16:12:00,Cuenca,MED-CUE-09,7.06,1
EVT-000275,2025-08-07T12:20:00,Quito,MED-QUI-10,10.14,1
EVT-000277,2025-05-19T16:05:00,Quito,MED-QUI-11,6.69,0
EVT-000278,2025-10-05T18:37:00,Quito,MED-QUI-12,5.14,1
EVT-000280,2025-05-19T09:29:00,Cuenca,MED-CUE-01,5.39,1
EVT-000281,2025-03-16T14:20:00,Cuenca,MED-CUE-02,8.81,1
EVT-000293,2025-10-31T16:48:00,Quito,MED-QUI-03,3.36,1
EVT-000294,2025-09-28T07:19:00,Manta,MED-MAN-04,7.93,1
EVT-000297,2025-01-07T10:01:00,Quito,MED-QUI-05,12.02,0
EVT-000301,2025-10-14T12:51:00,Manta,MED-MAN-06,12.47,1
EVT-000302,2025-07-20T13:22:00,Guayaquil,MED-GUA-07,7.65,1
EVT-000304,2025-06-12T17:52:00,Quito,MED-QUI-08,5.59,0
EVT-000308,2025-09-09T17:18:00,Cuenca,MED-CUE-09,7.45,1
EVT-000314,2025-10-14T14:24:00,Guayaquil,MED-GUA-10,4.49,1
EVT-000321,2025-11-01T14:59:00,Guayaquil,MED-GUA-11,7.02,0
EVT-000323,2025-01-20T14:40:00,Manta,MED-MAN-12,9.21,1
EVT-000326,2025-01-13T11:31:00,Cuenca,MED-CUE-01,11.34,1
EVT-000327,2025-05-11T13:24:00,Quito,MED-QUI-02,6.08,1
EVT-000329,2025-08-30T10:54:00,Quito,MED-QUI-03,13.37,1
EVT-000330,2025-02-19T09:08:00,Guayaquil,MED-GUA-04,3.99,1
EVT-000331,2025-06-18T17:54:00,Quito,MED-QUI-05,4.21,1
EVT-000341,2025-02-14T11:36:00,Guayaquil,MED-GUA-06,12.62,1
EVT-000345,2025-12-09T11:27:00,Cuenca,MED-CUE-07,9.47,1
EVT-000347,2025-10-03T08:28:00,Quito,MED-QUI-08,4.44,1
EVT-000348,2025-03-17T10:26:00,Manta,MED-MAN-09,12.95,1
EVT-000349,2025-01-24T11:37:00,Cuenca,MED-CUE-10,9.79,1
EVT-000350,2025-11-05T08:15:00,Quito,MED-QUI-11,5.4,0
EVT-000354,2025-07-17T10:53:00,Guayaquil,MED-GUA-12,11.24,1
EVT-000360,2025-05-22T14:05:00,Guayaquil,MED-GUA-01,4.96,1
EVT-000363,2025-05-06T10:09:00,Guayaquil,MED-GUA-02,11.44,1
EVT-000364,2025-10-19T18:57:00,Cuenca,MED-CUE-03,3.51,1
EVT-000365,2025-02-19T11:40:00,Guayaquil,MED-GUA-04,7.09,0
EVT-000371,2025-01-20T13:26:00,Quito,MED-QUI-05,7.3,1
EVT-000374,2025-06-14T11:00:00,Guayaquil,MED-GUA-06,10.06,1
EVT-000380,2025-09-08T09:22:00,Ambato,MED-AMB-07,7.43,1
EVT-000381,2025-09-13T16:40:00,Guayaquil,MED-GUA-08,8.61,1
EVT-000383,2025-11-10T08:45:00,Cuenca,MED-CUE-09,6.11,1
EVT-000384,2025-12-27T14:24:00,Guayaquil,MED-GUA-10,7.1,1
EVT-000385,2025-07-22T10:06:00,Guayaquil,MED-GUA-11,10.93,1
EVT-000390,2025-03-14T08:03:00,Cuenca,MED-CUE-12,4.11,1
EVT-000392,2025-03-12T07:55:00,Ambato,MED-AMB-01,6.9,1
EVT-000397,2025-03-11T08:03:00,Cuenca,MED-CUE-02,4.54,1
EVT-000399,2025-02-09T12:29:00,Quito,MED-QUI-03,12.28,1
EVT-000400,2025-07-04T08:18:00,Cuenca,MED-CUE-04,6.13,0
EVT-000403,2025-04-15T08:38:00,Quito,MED-QUI-05,8.55,1
EVT-000404,2025-08-14T18:10:00,Ambato,MED-AMB-06,4.03,1
EVT-000412,2025-06-16T09:58:00,Cuenca,MED-CUE-07,6.51,0
EVT-000415,2025-01-22T17:23:00,Guayaquil,MED-GUA-08,6.28,1
EVT-000417,2025-02-19T11:07:00,Manta,MED-MAN-09,14.69,1
EVT-000418,2025-02-28T07:04:00,Quito,MED-QUI-10,6.88,1
EVT-000419,2025-10-22T08:00:00,Cuenca,MED-CUE-11,4.85,1
EVT-000421,2025-09-29T08:02:00,Quito,MED-QUI-12,7.44,1
EVT-000425,2025-08-08T10:35:00,Ambato,MED-AMB-01,12.39,1
EVT-000426,2025-12-31T17:57:00,Guayaquil,MED-GUA-02,4.75,1
EVT-000432,2025-06-17T14:14:00,Guayaquil,MED-GUA-03,6.93,1
EVT-000433,2025-06-07T16:50:00,Quito,MED-QUI-04,6.19,1
EVT-000436,2025-04-21T18:15:00,Quito,MED-QUI-05,2.79,1
EVT-000439,2025-07-08T12:45:00,Cuenca,MED-CUE-06,10.43,1
EVT-000440,2025-09-21T08:08:00,Cuenca,MED-CUE-07,5.53,1
EVT-000442,2025-01-13T18:57:00,Quito,MED-QUI-08,5.36,1
EVT-000443,2025-08-18T11:48:00,Guayaquil,MED-GUA-09,11.21,1
EVT-000444,2025-10-17T12:01:00,Cuenca,MED-CUE-10,10.05,1
EVT-000454,2025-01-07T07:52:00,Ambato,MED-AMB-11,4.12,1
EVT-000455,2025-12-13T12:34:00,Quito,MED-QUI-12,11.23,1
EVT-000456,2025-08-13T13:15:00,Cuenca,MED-CUE-01,6.26,1
EVT-000457,2025-01-06T17:29:00,Ambato,MED-AMB-02,5.62,1
EVT-000458,2025-02-21T09:23:00,Guayaquil,MED-GUA-03,7.16,1
EVT-000461,2025-11-14T11:05:00,Quito,MED-QUI-04,8.99,1
EVT-000462,2025-11-08T15:10:00,Ambato,MED-AMB-05,5.2,1
EVT-000464,2025-02-18T12:42:00,Manta,MED-MAN-06,13.55,1
EVT-000468,2025-05-30T16:23:00,Guayaquil,MED-GUA-07,5.76,1
EVT-000470,2025-06-17T11:06:00,Quito,MED-QUI-08,12.02,1
EVT-000472,2025-05-01T15:39:00,Guayaquil,MED-GUA-09,6.77,1
EVT-000475,2025-01-17T13:20:00,Ambato,MED-AMB-10,8.38,1
EVT-000477,2025-09-25T15:29:00,Quito,MED-QUI-11,7.02,1
EVT-000479,2025-09-06T07:49:00,Quito,MED-QUI-12,2.78,1
EVT-000480,2025-07-22T18:54:00,Guayaquil,MED-GUA-01,6.48,1
EVT-000491,2025-05-21T11:26:00,Quito,MED-QUI-02,14.57,0
EVT-000494,2025-08-06T09:59:00,Quito,MED-QUI-03,6.31,1
EVT-000495,2025-12-18T12:24:00,Guayaquil,MED-GUA-04,12.03,1
EVT-000498,2025-12-30T11:14:00,Guayaquil,MED-GUA-05,12.59,1
EVT-000509,2025-05-08T08:55:00,Ambato,MED-AMB-06,6.17,1
EVT-000512,2025-01-14T11:56:00,Guayaquil,MED-GUA-07,13.52,1
EVT-000513,2025-01-26T18:04:00,Ambato,MED-AMB-08,5.12,0
EVT-000519,2025-08-29T12:04:00,Cuenca,MED-CUE-09,13.04,1
EVT-000520,2025-08-05T17:09:00,Quito,MED-QUI-10,5.59,1
EVT-000524,2025-03-02T15:20:00,Quito,MED-QUI-11,4.09,1
EVT-000526,2025-05-22T11:04:00,Quito,MED-QUI-12,10.23,1
EVT-000528,2025-06-06T14:59:00,Cuenca,MED-CUE-01,4.26,1
EVT-000531,2025-10-22T07:20:00,Guayaquil,MED-GUA-02,3.3,0
EVT-000535,2025-05-04T07:56:00,Guayaquil,MED-GUA-03,6.15,1
EVT-000538,2025-01-10T14:22:00,Cuenca,MED-CUE-04,6.26,1
EVT-000539,2025-12-11T10:26:00,Ambato,MED-AMB-05,12.54,1
EVT-000545,2025-05-01T12:09:00,Quito,MED-QUI-06,11.03,1
EVT-000550,2025-02-19T08:28:00,Quito,MED-QUI-07,7.64,1
EVT-000552,2025-03-02T13:06:00,Cuenca,MED-CUE-08,5.53,1
EVT-000553,2025-02-06T17:23:00,Guayaquil,MED-GUA-09,4.77,1
EVT-000555,2025-05-23T18:00:00,Ambato,MED-AMB-10,7.65,1
EVT-000556,2025-07-02T13:44:00,Quito,MED-QUI-11,5.23,1
EVT-000565,2025-08-08T17:01:00,Cuenca,MED-CUE-12,4.97,0
EVT-000566,2025-08-23T18:41:00,Cuenca,MED-CUE-01,11.25,1
EVT-000571,2025-01-08T08:14:00,Guayaquil,MED-GUA-02,6.29,1
EVT-000573,2025-09-15T07:54:00,Cuenca,MED-CUE-03,4.1,1
EVT-000582,2025-06-17T13:09:00,Quito,MED-QUI-04,5.79,0
EVT-000588,2025-03-12T11:59:00,Ambato,MED-AMB-05,10.24,1
EVT-000590,2025-06-27T09:37:00,Quito,MED-QUI-06,7.82,1
EVT-000594,2025-10-28T11:11:00,Quito,MED-QUI-07,10.18,1
EVT-000595,2025-11-26T11:24:00,Guayaquil,MED-GUA-08,8.25,1
EVT-000596,2025-10-21T16:06:00,Cuenca,MED-CUE-09,5.66,1
EVT-000597,2025-10-05T12:16:00,Manta,MED-MAN-10,16.23,1
EVT-000599,2025-05-23T14:31:00,Guayaquil,MED-GUA-11,5.88,0
EVT-000600,2025-04-18T17:40:00,Ambato,MED-AMB-12,3.07,1
EVT-000605,2025-08-10T12:56:00,Cuenca,MED-CUE-01,11.07,1
EVT-000608,2025-06-18T15:30:00,Quito,MED-QUI-02,7.75,1
EVT-000611,2025-03-24T17:28:00,Manta,MED-MAN-03,6.51,1
EVT-000612,2025-08-30T16:33:00,Ambato,MED-AMB-04,10.17,1
EVT-000613,2025-08-23T15:15:00,Quito,MED-QUI-05,7.53,1
EVT-000615,2025-12-05T17:20:00,Guayaquil,MED-GUA-06,4.14,1
EVT-000617,2025-06-10T08:42:00,Quito,MED-QUI-07,7.71,1
EVT-000619,2025-09-26T11:29:00,Manta,MED-MAN-08,16.28,1
EVT-000620,2025-05-13T18:40:00,Cuenca,MED-CUE-09,3.64,1
EVT-000625,2025-12-25T09:52:00,Ambato,MED-AMB-10,3.79,1
EVT-000626,2025-02-24T12:54:00,Quito,MED-QUI-11,12.16,1
EVT-000629,2025-10-23T18:28:00,Manta,MED-MAN-12,7.22,1
EVT-000632,2025-05-18T17:16:00,Manta,MED-MAN-01,8.56,1
EVT-000633,2025-09-23T11:51:00,Cuenca,MED-CUE-02,11.95,1
EVT-000636,2025-08-07T17:47:00,Guayaquil,MED-GUA-03,6.52,1
EVT-000638,2025-05-07T14:22:00,Cuenca,MED-CUE-04,5.14,1
EVT-000640,2025-08-09T09:52:00,Ambato,MED-AMB-05,7.62,1
EVT-000641,2025-05-05T17:34:00,Manta,MED-MAN-06,4.9,1
EVT-000642,2025-10-19T08:05:00,Guayaquil,MED-GUA-07,6.34,1
EVT-000646,2025-01-28T14:39:00,Quito,MED-QUI-08,2.41,1
EVT-000647,2025-10-10T14:00:00,Cuenca,MED-CUE-09,5.51,1
EVT-000650,2025-07-11T11:12:00,Manta,MED-MAN-10,14.45,1
EVT-000655,2025-02-25T10:59:00,Guayaquil,MED-GUA-11,9.88,1
EVT-000658,2025-04-26T10:43:00,Quito,MED-QUI-12,11.78,1
EVT-000659,2025-11-23T13:07:00,Quito,MED-QUI-01,5.89,1
EVT-000663,2025-03-02T13:32:00,Guayaquil,MED-GUA-02,4.32,1
EVT-000666,2025-05-04T13:47:00,Quito,MED-QUI-03,4.76,1
EVT-000670,2025-03-01T15:51:00,Guayaquil,MED-GUA-04,6.8,0
EVT-000672,2025-11-03T11:58:00,Quito,MED-QUI-05,11.84,1
EVT-000673,2025-05-17T07:01:00,Cuenca,MED-CUE-06,6.24,1
EVT-000674,2025-11-15T15:42:00,Quito,MED-QUI-07,3.41,0
EVT-000675,2025-09-02T10:12:00,Guayaquil,MED-GUA-08,11.41,0
EVT-000676,2025-12-20T10:42:00,Quito,MED-QUI-09,10.62,1
EVT-000680,2025-12-13T13:04:00,Guayaquil,MED-GUA-10,6.21,1
EVT-000681,2025-02-09T17:16:00,Guayaquil,MED-GUA-11,4.9,1
EVT-000686,2025-01-26T09:36:00,Quito,MED-QUI-12,4.45,1
EVT-000687,2025-09-30T14:17:00,Cuenca,MED-CUE-01,2.75,1
EVT-000690,2025-09-01T07:21:00,Quito,MED-QUI-02,6.16,1
EVT-000692,2025-03-24T18:34:00,Manta,MED-MAN-03,8.03,1
EVT-000694,2025-03-27T07:27:00,Guayaquil,MED-GUA-04,6.51,1
EVT-000695,2025-07-29T10:46:00,Guayaquil,MED-GUA-05,10.17,1
EVT-000698,2025-06-11T12:19:00,Cuenca,MED-CUE-06,10.62,1
EVT-000705,2025-06-21T15:18:00,Quito,MED-QUI-07,6.93,1
EVT-000707,2025-02-12T09:18:00,Guayaquil,MED-GUA-08,3.94,1
EVT-000711,2025-09-05T13:44:00,Guayaquil,MED-GUA-09,5.9,0
EVT-000714,2025-09-15T09:43:00,Cuenca,MED-CUE-10,8.47,1
EVT-000715,2025-12-14T18:42:00,Cuenca,MED-CUE-11,6.99,1
EVT-000721,2025-09-17T18:04:00,Ambato,MED-AMB-12,4.16,1
EVT-000727,2025-06-09T09:50:00,Quito,MED-QUI-01,5.95,1
EVT-000731,2025-11-08T08:33:00,Cuenca,MED-CUE-02,7.13,1
EVT-000737,2025-04-09T17:47:00,Guayaquil,MED-GUA-03,5.39,1
EVT-000750,2025-07-20T12:03:00,Quito,MED-QUI-04,10.17,1
EVT-000751,2025-11-28T07:13:00,Quito,MED-QUI-05,7.69,1
EVT-000753,2025-03-14T13:59:00,Quito,MED-QUI-06,3.71,1
EVT-000756,2025-10-05T07:11:00,Guayaquil,MED-GUA-07,7.19,1
EVT-000760,2025-12-16T10:36:00,Cuenca,MED-CUE-08,10.69,1
EVT-000765,2025-05-06T08:19:00,Quito,MED-QUI-09,4.67,1
EVT-000766,2025-12-15T16:06:00,Guayaquil,MED-GUA-10,4.84,1
EVT-000770,2025-01-21T15:01:00,Guayaquil,MED-GUA-11,6.36,1
EVT-000772,2025-11-24T16:45:00,Manta,MED-MAN-12,7.85,1
EVT-000777,2025-12-09T07:56:00,Quito,MED-QUI-01,3.26,1
EVT-000778,2025-03-05T09:48:00,Manta,MED-MAN-02,9.58,1
EVT-000781,2025-11-28T07:33:00,Guayaquil,MED-GUA-03,5.36,1
EVT-000782,2025-08-20T16:36:00,Cuenca,MED-CUE-04,6.92,1
EVT-000794,2025-12-08T11:49:00,Guayaquil,MED-GUA-05,11.14,1
EVT-000795,2025-10-20T14:20:00,Guayaquil,MED-GUA-06,7.3,1
EVT-000799,2025-10-04T11:24:00,Guayaquil,MED-GUA-07,8.14,1
EVT-000800,2025-06-07T17:58:00,Cuenca,MED-CUE-08,7.54,1
EVT-000805,2025-09-04T15:07:00,Quito,MED-QUI-09,5.31,1
EVT-000810,2025-10-22T13:18:00,Manta,MED-MAN-10,6.6,1
EVT-000811,2025-01-12T10:05:00,Cuenca,MED-CUE-11,9.24,1
EVT-000815,2025-07-28T15:21:00,Quito,MED-QUI-12,3.99,1
EVT-000817,2025-08-02T08:56:00,Quito,MED-QUI-01,6.08,1
EVT-000819,2025-03-27T17:41:00,Manta,MED-MAN-02,5.81,0
EVT-000823,2025-07-27T09:27:00,Quito,MED-QUI-03,6.95,1
EVT-000826,2025-08-23T10:41:00,Ambato,MED-AMB-04,9.66,1
EVT-000828,2025-10-20T16:51:00,Manta,MED-MAN-05,7.17,1
EVT-000829,2025-03-14T10:10:00,Ambato,MED-AMB-06,10.12,1
EVT-000831,2025-03-17T15:06:00,Guayaquil,MED-GUA-07,9.75,1
EVT-000836,2025-01-04T13:09:00,Guayaquil,MED-GUA-08,6.14,1
EVT-000837,2025-07-26T13:34:00,Guayaquil,MED-GUA-09,7.23,1
EVT-000839,2025-12-21T13:31:00,Ambato,MED-AMB-10,1.93,1
EVT-000843,2025-09-14T13:00:00,Ambato,MED-AMB-11,5.46,1
EVT-000849,2025-11-26T08:55:00,Guayaquil,MED-GUA-12,5.63,1
EVT-000853,2025-03-09T10:39:00,Guayaquil,MED-GUA-01,10.74,1
EVT-000856,2025-02-10T13:04:00,Ambato,MED-AMB-02,3.74,1
EVT-000860,2025-09-30T07:08:00,Quito,MED-QUI-03,5.23,1
EVT-000861,2025-08-21T09:23:00,Quito,MED-QUI-04,4.5,1
EVT-000863,2025-10-23T11:37:00,Quito,MED-QUI-05,11.73,1
EVT-000866,2025-01-12T16:53:00,Cuenca,MED-CUE-06,4.87,1
EVT-000867,2025-06-14T14:04:00,Quito,MED-QUI-07,5.74,1
EVT-000869,2025-04-21T11:21:00,Manta,MED-MAN-08,13.69,1
EVT-000871,2025-09-06T11:16:00,Manta,MED-MAN-09,11.33,1
EVT-000872,2025-04-02T14:50:00,Quito,MED-QUI-10,3.19,0
EVT-000873,2025-11-24T17:43:00,Quito,MED-QUI-11,5.07,1
EVT-000876,2025-05-20T14:24:00,Cuenca,MED-CUE-12,5.11,1
EVT-000887,2025-05-30T12:48:00,Quito,MED-QUI-01,10.92,1
EVT-000893,2025-01-18T18:24:00,Cuenca,MED-CUE-02,5.27,1
EVT-000897,2025-04-06T13:40:00,Quito,MED-QUI-03,4.46,1
EVT-000899,2025-06-02T12:57:00,Cuenca,MED-CUE-04,11.82,1
EVT-000903,2025-11-02T17:54:00,Guayaquil,MED-GUA-05,7.01,1
EVT-000906,2025-04-03T11:15:00,Cuenca,MED-CUE-06,10.64,1
EVT-000907,2025-09-21T13:24:00,Manta,MED-MAN-07,7.18,1
EVT-000910,2025-09-26T12:16:00,Guayaquil,MED-GUA-08,12.19,1
EVT-000916,2025-08-29T08:33:00,Guayaquil,MED-GUA-09,4.05,1
EVT-000917,2025-04-09T16:59:00,Quito,MED-QUI-10,5.55,1
EVT-000918,2025-09-02T16:29:00,Cuenca,MED-CUE-11,4.44,1
EVT-000922,2025-06-21T16:06:00,Cuenca,MED-CUE-12,4.46,1
EVT-000923,2025-09-11T08:59:00,Cuenca,MED-CUE-01,5.4,1
EVT-000928,2025-12-23T17:01:00,Cuenca,MED-CUE-02,4.78,1
EVT-000930,2025-10-20T08:56:00,Cuenca,MED-CUE-03,7.86,1
EVT-000937,2025-06-04T14:27:00,Manta,MED-MAN-04,5.68,1
EVT-000938,2025-07-19T17:20:00,Guayaquil,MED-GUA-05,7.01,1
EVT-000940,2025-06-25T17:30:00,Ambato,MED-AMB-06,5.34,1
EVT-000944,2025-12-13T16:40:00,Ambato,MED-AMB-07,9.44,1
EVT-000945,2025-06-08T07:08:00,Ambato,MED-AMB-08,6.07,1
EVT-000946,2025-01-22T18:30:00,Ambato,MED-AMB-09,6.85,0
EVT-000948,2025-10-24T11:18:00,Cuenca,MED-CUE-10,12.46,1
EVT-000950,2025-06-19T15:16:00,Quito,MED-QUI-11,2.76,1
EVT-000951,2025-01-27T08:35:00,Quito,MED-QUI-12,6.4,1
EVT-000953,2025-09-18T10:11:00,Ambato,MED-AMB-01,10.44,1
EVT-000955,2025-07-19T16:33:00,Guayaquil,MED-GUA-02,8.53,1
EVT-000964,2025-09-06T14:04:00,Guayaquil,MED-GUA-03,8.17,1
EVT-000965,2025-05-25T08:48:00,Guayaquil,MED-GUA-04,3.43,1
EVT-000967,2025-04-14T18:08:00,Ambato,MED-AMB-05,6.09,1
EVT-000970,2025-09-04T15:12:00,Guayaquil,MED-GUA-06,7.11,1
EVT-000971,2025-02-01T07:58:00,Quito,MED-QUI-07,8.01,1
EVT-000974,2025-05-16T11:19:00,Ambato,MED-AMB-08,12.76,1
EVT-000976,2025-07-02T11:06:00,Guayaquil,MED-GUA-09,9.6,1
EVT-000981,2025-08-08T14:06:00,Quito,MED-QUI-10,5.57,0
EVT-000982,2025-12-25T15:13:00,Ambato,MED-AMB-11,6.37,1
EVT-000988,2025-10-21T15:43:00,Ambato,MED-AMB-12,6.6,1
EVT-000990,2025-05-19T10:13:00,Guayaquil,MED-GUA-01,13.66,1
EVT-000996,2025-12-26T11:42:00,Guayaquil,MED-GUA-02,11.52,0
EVT-000997,2025-02-04T15:31:00,Cuenca,MED-CUE-03,6.71,1
EVT-001007,2025-02-02T15:15:00,Quito,MED-QUI-04,5.46,1
EVT-001014,2025-01-05T12:19:00,Quito,MED-QUI-05,11.29,0
EVT-001015,2025-10-17T08:59:00,Quito,MED-QUI-06,7.74,1
EVT-001016,2025-01-09T14:48:00,Ambato,MED-AMB-07,6.78,1
EVT-001017,2025-10-26T11:46:00,Quito,MED-QUI-08,12.39,1
EVT-001025,2025-03-04T15:56:00,Guayaquil,MED-GUA-09,5.99,1
EVT-001027,2025-05-10T12:59:00,Guayaquil,MED-GUA-10,10.75,1
EVT-001028,2025-03-28T17:55:00,Cuenca,MED-CUE-11,4.9,1
EVT-001030,2025-11-12T07:10:00,Guayaquil,MED-GUA-12,5.2,1
EVT-001031,2025-10-17T11:11:00,Quito,MED-QUI-01,11.02,1
EVT-001032,2025-08-14T10:46:00,Ambato,MED-AMB-02,14.1,1
EVT-001033,2025-11-05T08:00:00,Cuenca,MED-CUE-03,7.58,0
EVT-001038,2025-07-17T16:38:00,Quito,MED-QUI-04,7.01,1
EVT-001042,2025-05-07T07:29:00,Ambato,MED-AMB-05,3.65,0
EVT-001044,2025-04-23T16:07:00,Ambato,MED-AMB-06,6.07,1
EVT-001045,2025-12-31T15:56:00,Cuenca,MED-CUE-07,5.96,1
EVT-001046,2025-09-24T17:36:00,Cuenca,MED-CUE-08,8.31,1
EVT-001049,2025-03-05T07:03:00,Guayaquil,MED-GUA-09,3.59,1
